"","x","y","SVM.Aspatial","SVM.SDO"
"1",996340.144,-4289360.115,0.918940807583499,1.54714353222679
"2",1006340.144,-4289360.115,1.3959564756684,1.53299191633816
"3",1016340.144,-4289360.115,1.08924830870861,1.50124702728865
"4",1026340.144,-4289360.115,1.716681916981,1.4841708116734
"5",976340.144,-4279360.115,1.63606197256382,1.66921086310504
"6",986340.144,-4279360.115,1.16311155446644,1.64702350591548
"7",996340.144,-4279360.115,0.844752672119727,1.61534886114171
"8",1006340.144,-4279360.115,0.882782442768994,1.59639995090006
"9",1016340.144,-4279360.115,0.82322251550298,1.55873779687987
"10",1026340.144,-4279360.115,0.832269146182257,1.52479219889037
"11",966340.144,-4269360.115,1.5186431491716,1.74713961003804
"12",976340.144,-4269360.115,1.22162804432695,1.74606064069429
"13",986340.144,-4269360.115,1.31385063411989,1.72951665150877
"14",996340.144,-4269360.115,1.07799249912382,1.68760047044374
"15",1006340.144,-4269360.115,0.847563736676013,1.66892465970339
"16",1016340.144,-4269360.115,0.847105541408091,1.63488127600756
"17",1026340.144,-4269360.115,0.83149509690997,1.58545516495366
"18",1036340.144,-4269360.115,0.835751781363754,1.54911708552683
"19",1046340.144,-4269360.115,0.996149771535575,1.51585993002535
"20",946340.144,-4259360.115,1.1095225489388,1.79655308962137
"21",956340.144,-4259360.115,1.38111994912682,1.79566011989995
"22",966340.144,-4259360.115,1.18224227959947,1.79373380664318
"23",976340.144,-4259360.115,1.11498790860589,1.7907517345275
"24",986340.144,-4259360.115,1.19862565222275,1.78672069382676
"25",996340.144,-4259360.115,1.45709845408609,1.76293255842211
"26",1006340.144,-4259360.115,1.43733319360895,1.73411166507728
"27",1016340.144,-4259360.115,1.23898981933293,1.70009563064765
"28",1026340.144,-4259360.115,1.02152122149203,1.65998408808114
"29",1036340.144,-4259360.115,0.826104041266924,1.61635822999255
"30",1046340.144,-4259360.115,0.810385167731962,1.5633356430712
"31",1056340.144,-4259360.115,1.4089230170808,1.52545801494757
"32",936340.144,-4249360.115,1.23851792422224,1.86322131392311
"33",946340.144,-4249360.115,1.18907208536545,1.85304756895383
"34",956340.144,-4249360.115,1.24097076571782,1.84443680912131
"35",966340.144,-4249360.115,1.28377679828514,1.83920941554713
